INTERNO;INTERNO;TERMINAL;21-Oct;22-Oct;23-Oct;24-Oct;25-Oct;26-Oct;27-Oct;28-Oct;29-Oct;30-Oct;31-Oct;1-Nov;2-Nov;3-Nov;4-Nov;5-Nov;6-Nov;7-Nov;8-Nov;9-Nov;10-Nov;11-Nov;12-Nov;13-Nov;14-Nov;15-Nov;16-Nov;17-Nov;18-Nov;19-Nov
5006;SHCX60;PIE ANDINO;FULL;;;;;;;;;;;BARRIDO/MOPA;;BARRIDO/MOPA;EXTERNO/EXPRESS;BARRIDO/MOPA;EXTERNO/EXPRESS;BARRIDO/MOPA;BARRIDO/MOPA;;;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;;;BARRIDO/MOPA;FULL;
5007;SHCY42;PIE ANDINO;;;;;;;;;;;;BARRIDO/MOPA;;BARRIDO/MOPA;EXTERNO/EXPRESS;;EXTERNO/EXPRESS;;;;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;;BARRIDO/MOPA;;EXTERNO/EXPRESS
5009;SHCY60;PIE ANDINO;FULL;;;;;;;;;;;EXTERNO/EXPRESS;;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;BARRIDO/MOPA;;;;BARRIDO/MOPA;EXTERNO/EXPRESS;BARRIDO/MOPA;;EXTERNO/EXPRESS;FULL;;BARRIDO/MOPA;EXTERNO/EXPRESS;BARRIDO/MOPA
5010;SHXD57;PIE ANDINO;;;;;;;;;;;;;;BARRIDO/MOPA;EXTERNO/EXPRESS;BARRIDO/MOPA;EXTERNO/EXPRESS;BARRIDO/MOPA;EXTERNO/EXPRESS;;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA
5011;SHXF18;PIE ANDINO;FULL;FULL;;;;;;;;;;EXTERNO/EXPRESS;;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;EXTERNO/EXPRESS;;EXTERNO/EXPRESS;;BARRIDO/MOPA;EXTERNO/EXPRESS;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;;;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA
5012;SHXF36;PIE ANDINO;;;;;;;;;;;;BARRIDO/MOPA;;;EXTERNO/EXPRESS;EXTERNO/EXPRESS;BARRIDO/MOPA;EXTERNO/EXPRESS;BARRIDO/MOPA;;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;;;BARRIDO/MOPA;BARRIDO/MOPA;FULL
5013;SHXF39;PIE ANDINO;;FULL;;;;;;;;;;BARRIDO/MOPA;;;EXTERNO/EXPRESS;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;EXTERNO/EXPRESS;;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS;BARRIDO/MOPA;EXTERNO/EXPRESS;;;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS
5014;SHXF40;PIE ANDINO;FULL;;;;;;;;;;;;;;;EXTERNO/EXPRESS;;BARRIDO/MOPA;EXTERNO/EXPRESS;;;;BARRIDO/MOPA;BARRIDO/MOPA;FULL;;;BARRIDO/MOPA;BARRIDO/MOPA;EXTERNO/EXPRESS
5015;SHXG86;PIE ANDINO;;FULL;;;;;;;;;;BARRIDO/MOPA;;BARRIDO/MOPA;EXTERNO/EXPRESS;EXTERNO/EXPRESS;EXTERNO/EXPRESS;EXTERNO/EXPRESS;BARRIDO/MOPA;;;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;BARRIDO/MOPA;;;BARRIDO/MOPA;EXTERNO/EXPRESS;BARRIDO/MOPA
5016;SHCY61;PIE ANDINO;;;;;;;;;;;;EXTERNO/EXPRESS;;BARRIDO/MOPA;EXTERNO/EXPRESS;BARRIDO/MOPA;EXTERNO/EXPRESS;BARRIDO/MOPA;;;;EXTERNO/EXPRESS;EXTERNO/EXPRESS;EXTERNO/EXPRESS;EXTERNO/EXPRESS;BARRIDO/MOPA;;BARRIDO/MOPA;EXTERNO/EXPRESS;BARRIDO/MOPA
